VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD3.x, TEXCOORD3.y
1595, 10942, -17.62106,  12.1139, -98.53812,  0.5504,  0.18771, -0.20806, -0.01602,  0.97799,  0.12233,  0.13579
1596, 10942, -17.62106,  12.1139, -98.53812,  0.5504,  0.18771, -0.20806, -0.01602,  0.97799,  0.12233,  0.13579
1597, 10927, -16.83089,  12.1139, -98.71902,  0.55533,  0.18771,  0.40089, -0.01644,  0.91598,  0.12233,  0.13355
1598, 10928, -16.82565,  12.75094, -98.70999,  0.55531,  0.18206,  0.39691, -0.01612,  0.91772,  0.11982,  0.13355
1599, 10925, -16.24264,  12.7288, -99.10947,  0.55966,  0.18206,  0.90049, -0.01872,  0.43447,  0.11982,  0.13157
1600, 10928, -16.82565,  12.75094, -98.70999,  0.55531,  0.18206,  0.39691, -0.01612,  0.91772,  0.11982,  0.13355
1601, 10927, -16.83089,  12.1139, -98.71902,  0.55533,  0.18771,  0.40089, -0.01644,  0.91598,  0.12233,  0.13355
1602, 10927, -16.83089,  12.1139, -98.71902,  0.55533,  0.18771,  0.40089, -0.01644,  0.91598,  0.12233,  0.13355
1603, 10926, -16.25277,  12.1139, -99.1152,  0.55966,  0.18771,  0.89862, -0.01858,  0.43834,  0.12233,  0.13157
1604, 10925, -16.24264,  12.7288, -99.10947,  0.55966,  0.18206,  0.90049, -0.01872,  0.43447,  0.11982,  0.13157
1605, 10939, -18.43557,  12.7288, -99.13712,  0.54428,  0.18206, -0.75116, -0.0157,  0.65993,  0.11982,  0.13844
1606, 10937, -18.91842,  12.75094, -100.00168,  0.53827,  0.18206, -0.98971, -0.01845, -0.14189,  0.11982,  0.14115
1607, 10938, -18.90633,  12.1139, -99.99997,  0.53827,  0.18771, -0.99413, -0.01928, -0.10641,  0.12233,  0.14115
1608, 10936, -18.28707,  12.1139, -100.70193,  0.53275,  0.18771, -0.50716, -0.01375, -0.86174,  0.12233,  0.14359
1609, 10938, -18.90633,  12.1139, -99.99997,  0.53827,  0.18771, -0.99413, -0.01928, -0.10641,  0.12233,  0.14115
1610, 10937, -18.91842,  12.75094, -100.00168,  0.53827,  0.18206, -0.98971, -0.01845, -0.14189,  0.11982,  0.14115
1611, 10937, -18.91842,  12.75094, -100.00168,  0.53827,  0.18206, -0.98971, -0.01845, -0.14189,  0.11982,  0.14115
1612, 10935, -18.29403,  12.88091, -100.70963,  0.53275,  0.18206, -0.48995, -0.01295, -0.87166,  0.11982,  0.14359
1613, 10936, -18.28707,  12.1139, -100.70193,  0.53275,  0.18771, -0.50716, -0.01375, -0.86174,  0.12233,  0.14359
1614, 10934, -17.26608,  12.1139, -100.92825,  0.52739,  0.18771,  0.17884, -0.01185, -0.98381,  0.12233,  0.14596
1615, 10936, -18.28707,  12.1139, -100.70193,  0.53275,  0.18771, -0.50716, -0.01375, -0.86174,  0.12233,  0.14359
1616, 10935, -18.29403,  12.88091, -100.70963,  0.53275,  0.18206, -0.48995, -0.01295, -0.87166,  0.11982,  0.14359
1617, 10935, -18.29403,  12.88091, -100.70963,  0.53275,  0.18206, -0.48995, -0.01295, -0.87166,  0.11982,  0.14359
