VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
1001, 261,  0.0671,  0.06225,  1.2204,  0.90682,  0.61591, -0.0893,  0.29833, -0.95028
1002, 261,  0.0671,  0.06225,  1.2204,  0.90682,  0.61591, -0.0893,  0.29833, -0.95028
1003, 262,  0.1454,  0.04475,  1.2058,  0.97771,  0.61591,  0.01426,  0.19085, -0.98152
1004, 263,  0.1315,  0.02525,  1.2248,  0.97771,  0.59865, -0.64114, -0.76259, -0.08603
1005, 263,  0.1315,  0.02525,  1.2248,  0.97771,  0.59865, -0.64114, -0.76259, -0.08603
1006, 264,  0.067,  0.03765,  1.2386,  0.90682,  0.59865, -0.15422, -0.97505, -0.15965
1007, 261,  0.0671,  0.06225,  1.2204,  0.90682,  0.61591, -0.0893,  0.29833, -0.95028
1008, 261,  0.0671,  0.06225,  1.2204,  0.90682,  0.61591, -0.0893,  0.29833, -0.95028
1009, 264,  0.067,  0.03765,  1.2386,  0.90682,  0.59865, -0.15422, -0.97505, -0.15965
1010, 265,  3.54094E-17,  0.04285,  1.2434,  0.84695,  0.59865, -3.66019E-16, -0.98561, -0.16902
1011, 266,  5.39670E-17,  0.06745,  1.2266,  0.84695,  0.61591, -3.58633E-09,  0.31994, -0.94744
1012, 260,  4.76469E-17,  0.07895,  1.2522,  0.84695,  0.6329,  3.09250E-16,  0.96222,  0.27228
1013, 259,  0.0679,  0.07435,  1.2475,  0.90682,  0.6329,  0.16666,  0.94275,  0.28887
1014, 259,  0.0679,  0.07435,  1.2475,  0.90682,  0.6329,  0.16666,  0.94275,  0.28887
1015, 261,  0.0671,  0.06225,  1.2204,  0.90682,  0.61591, -0.0893,  0.29833, -0.95028
